Value,Panel,Age,NR.mu,labs
2,brownverticals,79,4.4,Natural
1,brownverticals,49,3.8,Somewhat natural
2,brownverticals,68,4.2,Natural
-1,brownverticals,54,4.4,Somewhat artificial
2,brownverticals,58,4.4,Natural
0,brownverticals,73,3.8,Neutral
-1,brownverticals,45,3.8,Somewhat artificial
-1,brownverticals,70,4.6,Somewhat artificial
2,brownverticals,57,4.8,Natural
0,brownverticals,23,4,Neutral
0,brownverticals,44,3.5,Neutral
0,brownverticals,38,3.8,Neutral
2,brownverticals,73,4.2,Natural
1,brownverticals,50,2.8,Somewhat natural
2,brownverticals,47,2.4,Natural
1,brownverticals,58,4.8,Somewhat natural
2,brownverticals,56,4.8,Natural
0,brownverticals,84,3,Neutral
-1,brownverticals,38,4.6,Somewhat artificial
2,brownverticals,56,4.2,Natural
0,brownverticals,40,3.2,Neutral
2,brownverticals,54,3.25,Natural
1,brownverticals,61,4.75,Somewhat natural
1,brownverticals,60,3.4,Somewhat natural
2,brownverticals,49,4,Natural
-1,brownverticals,26,2.8,Somewhat artificial
0,brownverticals,26,2.5,Neutral
1,brownverticals,23,3,Somewhat natural
0,brownverticals,26,3.4,Neutral
2,brownverticals,28,4,Natural
0,brownverticals,25,3,Neutral
1,brownverticals,63,3.3333333333333335,Somewhat natural
-1,brownverticals,65,3.8,Somewhat artificial
0,brownverticals,27,4.2,Neutral
2,brownverticals,58,4,Natural
1,brownverticals,41,4,Somewhat natural
1,brownverticals,62,4,Somewhat natural
-1,brownverticals,47,3.4,Somewhat artificial
0,brownverticals,45,4.6,Neutral
-2,brownverticals,33,4.2,Artificial
0,brownverticals,33,3.2,Neutral
2,brownverticals,56,5,Natural
0,brownverticals,38,3,Neutral
1,brownverticals,37,4,Somewhat natural
0,brownverticals,40,3.2,Neutral
2,brownverticals,57,1,Natural
2,brownverticals,48,3.4,Natural
1,brownverticals,62,4.4,Somewhat natural
1,brownverticals,52,2.6,Somewhat natural
1,brownverticals,40,4.8,Somewhat natural
-1,brownverticals,53,4.25,Somewhat artificial
2,brownverticals,29,4.2,Natural
2,brownverticals,56,4.25,Natural
1,brownverticals,25,4.75,Somewhat natural
1,brownverticals,40,5,Somewhat natural
2,brownverticals,49,4.6,Natural
0,brownverticals,56,5,Neutral
2,brownverticals,59,4.2,Natural
0,brownverticals,25,5,Neutral
1,brownverticals,66,3,Somewhat natural
2,brownverticals,44,4.4,Natural
2,brownverticals,39,4.6,Natural
0,brownverticals,60,4.8,Neutral
1,brownverticals,53,4.2,Somewhat natural
2,brownverticals,72,3.8,Natural
-1,brownverticals,57,4.8,Somewhat artificial
2,brownverticals,31,4.2,Natural
2,brownverticals,44,4.2,Natural
0,brownverticals,36,2.2,Neutral
1,brownverticals,59,3.75,Somewhat natural
2,brownverticals,59,3.8,Natural
0,brownverticals,53,4.8,Neutral
1,brownverticals,50,3.2,Somewhat natural
2,brownverticals,64,4.2,Natural
1,brownverticals,38,3.75,Somewhat natural
0,brownverticals,50,4,Neutral
2,brownverticals,61,3.8,Natural
2,brownverticals,36,4.6,Natural
0,brownverticals,65,3.2,Neutral
2,brownverticals,47,4.6,Natural
0,brownverticals,51,5,Neutral
2,brownverticals,60,3.4,Natural
1,brownverticals,57,3.6,Somewhat natural
1,brownverticals,73,2.6666666666666665,Somewhat natural
1,brownverticals,56,4,Somewhat natural
2,brownverticals,80,4.4,Natural
1,brownverticals,61,3.8,Somewhat natural
0,brownverticals,63,4.6,Neutral
1,brownverticals,46,4,Somewhat natural
0,brownverticals,50,3.8,Neutral
2,brownverticals,66,4.2,Natural
0,brownverticals,41,2.8,Neutral
1,brownverticals,63,3.6,Somewhat natural
2,brownverticals,48,3.2,Natural
2,brownverticals,43,3.4,Natural
1,brownverticals,39,4,Somewhat natural
2,brownverticals,50,4.2,Natural
1,brownverticals,44,3.2,Somewhat natural
2,brownverticals,44,3,Natural
1,brownverticals,48,4.6,Somewhat natural
-1,brownverticals,53,4,Somewhat artificial
0,brownverticals,52,3.2,Neutral
1,brownverticals,65,3.8,Somewhat natural
2,brownverticals,54,4.4,Natural
1,brownverticals,83,4.4,Somewhat natural
2,brownverticals,62,4.4,Natural
2,brownverticals,38,4,Natural
2,brownverticals,66,3.8,Natural
2,brownverticals,57,3.6,Natural
2,brownverticals,53,4.2,Natural
1,brownverticals,28,2.25,Somewhat natural
-2,brownverticals,52,3.8,Artificial
1,brownverticals,45,4,Somewhat natural
0,brownverticals,38,2.25,Neutral
-1,brownverticals,52,4.75,Somewhat artificial
1,brownverticals,34,3.4,Somewhat natural
2,brownverticals,25,4.2,Natural
1,brownverticals,68,4.2,Somewhat natural
2,brownverticals,25,3.3333333333333335,Natural
-1,brownverticals,30,4.2,Somewhat artificial
1,brownverticals,39,3.2,Somewhat natural
0,brownverticals,46,4.4,Neutral
2,brownverticals,52,4.2,Natural
1,brownverticals,40,5,Somewhat natural
0,brownverticals,50,3.4,Neutral
0,brownverticals,75,4.2,Neutral
-1,brownverticals,27,4,Somewhat artificial
1,brownverticals,58,3.2,Somewhat natural
0,brownverticals,61,4.6,Neutral
1,brownverticals,25,3.4,Somewhat natural
1,brownverticals,23,4.4,Somewhat natural
-1,brownverticals,34,3.5,Somewhat artificial
0,brownverticals,26,4,Neutral
1,brownverticals,48,1.6,Somewhat natural
1,brownverticals,61,4.8,Somewhat natural
1,brownverticals,41,4,Somewhat natural
0,brownverticals,35,2.25,Neutral
0,brownverticals,24,3.25,Neutral
-1,brownverticals,62,3,Somewhat artificial
1,brownverticals,22,3.2,Somewhat natural
0,brownverticals,30,4,Neutral
0,brownverticals,29,4,Neutral
-2,brownverticals,33,4.4,Artificial
1,brownverticals,41,4.6,Somewhat natural
2,brownverticals,63,2.2,Natural
1,brownverticals,51,4,Somewhat natural
2,brownverticals,53,3.2,Natural
0,brownverticals,22,3.8,Neutral
-1,brownverticals,25,3.4,Somewhat artificial
-1,brownverticals,30,2.75,Somewhat artificial
0,brownverticals,27,3.8,Neutral
-1,brownverticals,25,4,Somewhat artificial
0,brownverticals,26,3,Neutral
-1,brownverticals,93,4.8,Somewhat artificial
-1,brownverticals,26,2.8,Somewhat artificial
2,brownverticals,62,2.6,Natural
0,brownverticals,22,2.75,Neutral
0,brownverticals,25,3.8,Neutral
1,brownverticals,25,3.6,Somewhat natural
-1,brownverticals,27,3.8,Somewhat artificial
1,brownverticals,25,4.5,Somewhat natural
0,brownverticals,57,3.6,Neutral
1,brownverticals,23,3.5,Somewhat natural
1,brownverticals,25,3.8,Somewhat natural
-1,brownverticals,60,4.25,Somewhat artificial
-1,brownverticals,28,4.4,Somewhat artificial
1,brownverticals,58,4,Somewhat natural
2,brownverticals,36,4.6,Natural
0,brownverticals,28,2.6,Neutral
0,brownverticals,25,4.25,Neutral
0,brownverticals,48,3.8,Neutral
1,brownverticals,32,2.75,Somewhat natural
1,brownverticals,25,3.8,Somewhat natural
1,brownverticals,42,4.2,Somewhat natural
0,brownverticals,46,3.6,Neutral
2,brownverticals,32,4.8,Natural
1,brownverticals,24,4.8,Somewhat natural
1,brownverticals,23,4.6,Somewhat natural
1,brownverticals,1,4.2,Somewhat natural
-1,brownverticals,35,3,Somewhat artificial
1,brownverticals,28,4,Somewhat natural
-2,brownverticals,32,3.6,Artificial
2,brownverticals,21,4.2,Natural
0,brownverticals,32,4.2,Neutral
0,brownverticals,28,3.8,Neutral
1,brownverticals,19,3,Somewhat natural
1,brownverticals,58,3.5,Somewhat natural
2,brownverticals,42,3.75,Natural
1,brownverticals,53,4,Somewhat natural
1,brownverticals,19,4,Somewhat natural
1,brownverticals,19,3.2,Somewhat natural
0,brownverticals,19,4,Neutral
-2,brownverticals,19,3.8,Artificial
2,brownverticals,26,4.8,Natural
1,brownverticals,19,3.4,Somewhat natural
0,brownverticals,55,3.75,Neutral
2,brownverticals,25,4.8,Natural
2,brownverticals,49,3.2,Natural
1,brownverticals,63,4.2,Somewhat natural
1,brownverticals,19,3.8,Somewhat natural
2,brownverticals,26,3.6,Natural
2,brownverticals,55,5,Natural
1,brownverticals,19,4.2,Somewhat natural
0,brownverticals,69,3.6,Neutral
1,brownverticals,27,3.8,Somewhat natural
2,brownverticals,33,4.2,Natural
2,brownverticals,30,4,Natural
-2,brownverticals,30,2.8,Artificial
2,brownverticals,30,4.5,Natural
2,brownverticals,32,3.4,Natural
0,brownverticals,31,4.2,Neutral
2,brownverticals,60,3.6,Natural
1,brownverticals,32,3.4,Somewhat natural
-1,brownverticals,31,3,Somewhat artificial
1,brownverticals,32,2.75,Somewhat natural
2,brownverticals,62,4,Natural
0,brownverticals,32,2.8,Neutral
0,brownverticals,31,4.8,Neutral
1,brownverticals,42,4.25,Somewhat natural
-2,brownverticals,32,3,Artificial
0,brownverticals,32,2.25,Neutral
0,brownverticals,43,4.2,Neutral
1,brownverticals,41,4.6,Somewhat natural
1,brownverticals,36,4.2,Somewhat natural
2,brownverticals,42,3.4,Natural
0,brownverticals,32,4.25,Neutral
1,brownverticals,55,4,Somewhat natural
0,brownverticals,30,3.4,Neutral
-2,brownverticals,25,3.8,Artificial
1,brownverticals,52,3,Somewhat natural
1,brownverticals,49,3.6,Somewhat natural
1,brownverticals,43,4.4,Somewhat natural
1,brownverticals,48,4.6,Somewhat natural
2,brownverticals,25,4.5,Natural
0,brownverticals,53,4.4,Neutral
0,brownverticals,40,4.6,Neutral
2,brownverticals,30,4.2,Natural
2,brownverticals,38,4,Natural
2,brownverticals,44,4.25,Natural
0,brownverticals,41,4.2,Neutral
0,brownverticals,59,3.8,Neutral
0,brownverticals,31,3.8,Neutral
0,brownverticals,59,3.8,Neutral
1,brownverticals,44,4.2,Somewhat natural
2,brownverticals,43,4.25,Natural
2,brownverticals,56,3.6,Natural
1,brownverticals,36,2.6,Somewhat natural
1,brownverticals,25,1.6666666666666667,Somewhat natural
2,brownverticals,37,2.2,Natural
-1,brownverticals,30,4.4,Somewhat artificial
0,brownverticals,30,4.5,Neutral
1,brownverticals,58,3.6,Somewhat natural
-1,brownverticals,34,4.4,Somewhat artificial
2,brownverticals,59,3.4,Natural
2,brownverticals,32,4,Natural
-2,brownverticals,20,3.6,Artificial
-1,brownverticals,19,3.4,Somewhat artificial
-2,brownverticals,19,3.6,Artificial
-2,brownverticals,34,3.75,Artificial
0,brownverticals,46,3.6,Neutral
2,brownverticals,40,4.8,Natural
2,brownverticals,48,3.25,Natural
-1,brownverticals,58,3.2,Somewhat artificial
2,brownverticals,33,4,Natural
0,brownverticals,99,3,Neutral
1,brownverticals,52,4.6,Somewhat natural
1,brownverticals,31,3.25,Somewhat natural
0,brownverticals,36,3.2,Neutral
2,brownverticals,44,4.4,Natural
2,brownverticals,60,4.4,Natural
2,brownverticals,36,3.2,Natural
2,brownverticals,66,4.4,Natural
2,brownverticals,59,5,Natural
1,brownverticals,40,3.6,Somewhat natural
2,brownverticals,44,3.8,Natural
1,brownverticals,40,3.8,Somewhat natural
0,brownverticals,45,3.4,Neutral
0,brownverticals,48,4.2,Neutral
-1,brownverticals,54,2.6,Somewhat artificial
2,brownverticals,53,3.8,Natural
-1,brownverticals,60,4.8,Somewhat artificial
2,brownverticals,51,4,Natural
1,brownverticals,33,2,Somewhat natural
1,brownverticals,52,1.8,Somewhat natural
0,brownverticals,62,3,Neutral
2,brownverticals,35,2.6,Natural
-1,brownverticals,51,4.8,Somewhat artificial
1,brownverticals,50,3.6,Somewhat natural
1,brownverticals,47,4.8,Somewhat natural
2,brownverticals,24,4.6,Natural
0,oakverticals,65,4.4,Neutral
-1,oakverticals,50,3.25,Somewhat artificial
1,oakverticals,43,4.8,Somewhat natural
2,oakverticals,51,4,Natural
1,oakverticals,66,5,Somewhat natural
0,oakverticals,41,2.8,Neutral
2,oakverticals,37,4,Natural
1,oakverticals,58,1.4,Somewhat natural
1,oakverticals,60,3.2,Somewhat natural
1,oakverticals,32,4.6,Somewhat natural
1,oakverticals,50,2.5,Somewhat natural
1,oakverticals,58,4,Somewhat natural
1,oakverticals,59,3.4,Somewhat natural
2,oakverticals,79,4.4,Natural
-1,oakverticals,49,3.8,Somewhat artificial
2,oakverticals,68,4.2,Natural
-1,oakverticals,54,4.4,Somewhat artificial
1,oakverticals,58,4.4,Somewhat natural
1,oakverticals,73,3.8,Somewhat natural
-1,oakverticals,70,4.6,Somewhat artificial
2,oakverticals,57,4.8,Natural
-1,oakverticals,45,3.8,Somewhat artificial
-2,oakverticals,23,4,Artificial
1,oakverticals,44,3.5,Somewhat natural
1,oakverticals,38,3.8,Somewhat natural
0,oakverticals,73,4.2,Neutral
1,oakverticals,50,2.8,Somewhat natural
2,oakverticals,47,2.4,Natural
2,oakverticals,58,4.8,Natural
1,oakverticals,56,4.8,Somewhat natural
-1,oakverticals,84,3,Somewhat artificial
-1,oakverticals,38,4.6,Somewhat artificial
2,oakverticals,56,4.2,Natural
0,oakverticals,40,3.2,Neutral
2,oakverticals,54,3.25,Natural
2,oakverticals,61,4.75,Natural
0,oakverticals,60,3.4,Neutral
0,oakverticals,49,4,Neutral
0,oakverticals,26,2.8,Neutral
0,oakverticals,26,2.5,Neutral
0,oakverticals,23,3,Neutral
1,oakverticals,26,3.4,Somewhat natural
1,oakverticals,28,4,Somewhat natural
-1,oakverticals,25,3,Somewhat artificial
0,oakverticals,63,3.3333333333333335,Neutral
0,oakverticals,65,3.8,Neutral
0,oakverticals,27,4.2,Neutral
2,oakverticals,41,4,Natural
2,oakverticals,58,4,Natural
1,oakverticals,62,4,Somewhat natural
-2,oakverticals,47,3.4,Artificial
0,oakverticals,45,4.6,Neutral
-2,oakverticals,33,4.2,Artificial
-1,oakverticals,33,3.2,Somewhat artificial
2,oakverticals,56,5,Natural
1,oakverticals,38,3,Somewhat natural
0,oakverticals,37,4,Neutral
0,oakverticals,40,3.2,Neutral
2,oakverticals,57,1,Natural
2,oakverticals,48,3.4,Natural
1,oakverticals,62,4.4,Somewhat natural
2,oakverticals,52,2.6,Natural
1,oakverticals,40,4.8,Somewhat natural
1,oakverticals,53,4.25,Somewhat natural
1,oakverticals,29,4.2,Somewhat natural
2,oakverticals,56,4.25,Natural
0,oakverticals,25,4.75,Neutral
0,oakverticals,40,5,Neutral
0,oakverticals,49,4.6,Neutral
0,oakverticals,56,5,Neutral
1,oakverticals,59,4.2,Somewhat natural
-1,oakverticals,25,5,Somewhat artificial
1,oakverticals,66,3,Somewhat natural
1,oakverticals,44,4.4,Somewhat natural
1,oakverticals,39,4.6,Somewhat natural
0,oakverticals,60,4.8,Neutral
-1,oakverticals,53,4.2,Somewhat artificial
1,oakverticals,72,3.8,Somewhat natural
2,oakverticals,31,4.2,Natural
-2,oakverticals,57,4.8,Artificial
1,oakverticals,44,4.2,Somewhat natural
2,oakverticals,59,3.8,Natural
1,oakverticals,59,3.75,Somewhat natural
1,oakverticals,36,2.2,Somewhat natural
1,oakverticals,53,4.8,Somewhat natural
2,oakverticals,50,3.2,Natural
0,oakverticals,38,3.75,Neutral
1,oakverticals,64,4.2,Somewhat natural
-2,oakverticals,50,4,Artificial
0,oakverticals,36,4.6,Neutral
2,oakverticals,61,3.8,Natural
1,oakverticals,65,3.2,Somewhat natural
1,oakverticals,57,3.6,Somewhat natural
0,oakverticals,51,5,Neutral
0,oakverticals,60,3.4,Neutral
1,oakverticals,47,4.6,Somewhat natural
0,oakverticals,80,4.4,Neutral
